Abano Terme;PD;A001
Abbadia Cerreto;LO;A004
Abbadia Lariana;LC;A005
Abbadia San Salvatore;SI;A006
Abbasanta;OR;A007
Abbateggio;PE;A008
Abbiategrasso;MI;A010
Abriola;PZ;A013
Acate;RG;A014
Accadia;FG;A015
Acceglio;CN;A016
Accettura;MT;A017
Acciano;AQ;A018
Accumoli;RI;A019
Acerenza;PZ;A020
Cermes/Tscherms;BZ;A022
Acerno;SA;A023
Acerra;NA;A024
Aci Bonaccorsi;CT;A025
Aci Castello;CT;A026
Aci Catena;CT;A027
Acireale;CT;A028
Aci Sant'Antonio;CT;A029
Acquafondata;FR;A032
Acquaformosa;CS;A033
Acquafredda;BS;A034
Acqualagna;PU;A035
Acquanegra sul Chiese;MN;A038
Acquanegra Cremonese;CR;A039
Acquapendente;VT;A040
Acquappesa;CS;A041
Acquaro;VV;A043
Acquasanta Terme;AP;A044
Acquasparta;TR;A045
Acquaviva Picena;AP;A047
Acquaviva delle Fonti;BA;A048
Acquaviva Platani;CL;A049
Acquaviva Collecroce;CB;A050
Acquaviva d'Isernia;IS;A051
Acqui Terme;AL;A052
Acri;CS;A053
Acuto;FR;A054
Adelfia;BA;A055
Adrano;CT;A056
Adrara San Martino;BG;A057
Adrara San Rocco;BG;A058
Adria;RO;A059
Adro;BS;A060
Affi;VR;A061
Affile;RM;A062
Afragola;NA;A064
Africo;RC;A065
Agazzano;PC;A067
Agerola;NA;A068
Aggius;SS;A069
Agira;EN;A070
Agliana;PT;A071
Agliano Terme;AT;A072
Agliè;TO;A074
Agna;PD;A075
Agnadello;CR;A076
Agnana Calabra;RC;A077
Agnone;IS;A080
Villa Latina;FR;A081
Agnosine;BS;A082
Agordo;BL;A083
Agosta;RM;A084
Agra;VA;A085
Agrate Brianza;MB;A087
Agrate Conturbia;NO;A088
Agrigento;AG;A089
Agropoli;SA;A091
Agugliano;AN;A092
Agugliaro;VI;A093
Ayas;AO;A094
Aicurzio;MB;A096
Aidomaggiore;OR;A097
Aidone;EN;A098
Aielli;AQ;A100
Aiello del Sabato;AV;A101
Aiello Calabro;CS;A102
Aiello del Friuli;UD;A103
Aieta;CS;A105
Ailano;CE;A106
Ailoche;BI;A107
Aymavilles;AO;A108
Airasca;TO;A109
Airola;BN;A110
Airole;IM;A111
Airuno;LC;A112
Aisone;CN;A113
Alà dei Sardi;SS;A115
Ala;TN;A116
Ala di Stura;TO;A117
Alagna;PV;A118
Alagna Valsesia;VC;A119
Alanno;PE;A120
Alano di Piave;BL;A121
Alassio;SV;A122
Alatri;FR;A123
Alba;CN;A124
Alba Adriatica;TE;A125
Albagiara;OR;A126
Albairate;MI;A127
Albanella;SA;A128
Albano Sant'Alessandro;BG;A129
Albano Vercellese;VC;A130
Albano di Lucania;PZ;A131
Albano Laziale;RM;A132
Albaredo Arnaboldi;PV;A134
Albaredo per San Marco;SO;A135
Albaredo d'Adige;VR;A137
Albareto;PR;A138
Albaretto della Torre;CN;A139
Albavilla;CO;A143
Albenga;SV;A145
Albera Ligure;AL;A146
Alberobello;BA;A149
Alberona;FG;A150
Albese con Cassano;CO;A153
Albettone;VI;A154
Albi;CZ;A155
Albiano d'Ivrea;TO;A157
Albiano;TN;A158
Albiate;MB;A159
Albidona;CS;A160
Albignasego;PD;A161
Albinea;RE;A162
Albino;BG;A163
Albiolo;CO;A164
Albissola Marina;SV;A165
Albisola Superiore;SV;A166
Albizzate;VA;A167
Albonese;PV;A171
Albosaggia;SO;A172
Albugnano;AT;A173
Albuzzano;PV;A175
Alcamo;TP;A176
Alcara li Fusi;ME;A177
Aldeno;TN;A178
Aldino/Aldein;BZ;A179
Ales;OR;A180
Alessandria della Rocca;AG;A181
Alessandria;AL;A182
Alessandria del Carretto;CS;A183
Alessano;LE;A184
Alezio;LE;A185
Alfano;SA;A186
Alfedena;AQ;A187
Alfianello;BS;A188
Alfiano Natta;AL;A189
Alfonsine;RA;A191
Alghero;SS;A192
Algua;BG;A193
Alì;ME;A194
Alia;PA;A195
Aliano;MT;A196
Alice Bel Colle;AL;A197
Alice Castello;VC;A198
Alife;CE;A200
Alì Terme;ME;A201
Alimena;PA;A202
Aliminusa;PA;A203
Allai;OR;A204
Allein;AO;A205
Alleghe;BL;A206
Allerona;TR;A207
Alliste;LE;A208
Allumiere;RM;A210
Almè;BG;A214
Villa d'Almè;BG;A215
Almenno San Bartolomeo;BG;A216
Almenno San Salvatore;BG;A217
Almese;TO;A218
Alonte;VI;A220
Alpette;TO;A221
Alpignano;TO;A222
Alseno;PC;A223
Alserio;CO;A224
Altamura;BA;A225
Altare;SV;A226
Altavilla Monferrato;AL;A227
Altavilla Irpina;AV;A228
Altavilla Milicia;PA;A229
Altavilla Silentina;SA;A230
Altavilla Vicentina;VI;A231
Altidona;FM;A233
Altilia;CS;A234
Altino;CH;A235
Altissimo;VI;A236
Altivole;TV;A237
Alto;CN;A238
Altofonte;PA;A239
Altomonte;CS;A240
Altopascio;LU;A241
Alviano;TR;A242
Alvignano;CE;A243
Alvito;FR;A244
Alzano Scrivia;AL;A245
Alzano Lombardo;BG;A246
Alzate Brianza;CO;A249
Amalfi;SA;A251
Amandola;FM;A252
Amantea;CS;A253
Amaro;UD;A254
Amaroni;CZ;A255
Amaseno;FR;A256
Amato;CZ;A257
Amatrice;RI;A258
Ambivere;BG;A259
Ameglia;SP;A261
Amelia;TR;A262
Amendolara;CS;A263
Ameno;NO;A264
Amorosi;BN;A265
Cortina d'Ampezzo;BL;A266
Ampezzo;UD;A267
Anacapri;NA;A268
Anagni;FR;A269
Ancarano;TE;A270
Ancona;AN;A271
Andali;CZ;A272
Andalo Valtellino;SO;A273
Andalo;TN;A274
Andezeno;TO;A275
Andora;SV;A278
Andorno Micca;BI;A280
Andrano;LE;A281
Andrate;TO;A282
Andreis;PN;A283
Andretta;AV;A284
Andria;BT;A285
Andriano/Andrian;BZ;A286
Anela;SS;A287
Anfo;BS;A288
Angera;VA;A290
Anghiari;AR;A291
Angiari;VR;A292
Angolo Terme;BS;A293
Angri;SA;A294
Angrogna;TO;A295
Anguillara Veneta;PD;A296
Anguillara Sabazia;RM;A297
Annicco;CR;A299
Castello di Annone;AT;A300
Annone di Brianza;LC;A301
Annone Veneto;VE;A302
Anoia;RC;A303
Antegnate;BG;A304
Antey-Saint-André;AO;A305
Anterivo/Altrei;BZ;A306
La Magdeleine;AO;A308
Anticoli Corrado;RM;A309
Fiuggi;FR;A310
Antignano;AT;A312
Antillo;ME;A313
Antonimina;RC;A314
Antrodoco;RI;A315
Antrona Schieranco;VB;A317
Anversa degli Abruzzi;AQ;A318
Anzano del Parco;CO;A319
Anzano di Puglia;FG;A320
Anzi;PZ;A321
Anzio;RM;A323
Anzola dell'Emilia;BO;A324
Anzola d'Ossola;VB;A325
Aosta;AO;A326
Apecchio;PU;A327
Apice;BN;A328
Apiro;MC;A329
Apollosa;BN;A330
