Borghi;FC;B001
Borgia;CZ;B002
Borgiallo;TO;B003
Borgio Verezzi;SV;B005
Borgo Valsugana;TN;B006
Borgo a Mozzano;LU;B007
Borgorose;RI;B008
Borgo d'Ale;VC;B009
Borgo di Terzo;BG;B010
Motteggiana;MN;B012
Suardi;PV;B014
Borgofranco d'Ivrea;TO;B015
Borgolavezzaro;NO;B016
Borgo San Giovanni;LO;B017
Borgomale;CN;B018
Borgomanero;NO;B019
Borgomaro;IM;B020
Borgomasino;TO;B021
Borgone Susa;TO;B024
Borgonovo Val Tidone;PC;B025
Borgo Pace;PU;B026
Borgo Priolo;PV;B028
Borgoratto Alessandrino;AL;B029
Borgoratto Mormorolo;PV;B030
Borgoricco;PD;B031
Borgo San Dalmazzo;CN;B033
Fidenza;PR;B034
Borgo San Giacomo;BS;B035
Borgo San Lorenzo;FI;B036
Borgo San Martino;AL;B037
Borgo San Siro;PV;B038
Borgosatollo;BS;B040
Borgosesia;VC;B041
Borgo Val di Taro;PR;B042
Borgo Ticino;NO;B043
Borgo Tossignano;BO;B044
Borgo Vercelli;VC;B046
Bormida;SV;B048
Bormio;SO;B049
Bornasco;PV;B051
Borno;BS;B054
Boroneddu;OR;B055
Borore;NU;B056
Borrello;CH;B057
Borriana;BI;B058
Borso del Grappa;TV;B061
Bortigali;NU;B062
Bortigiadas;SS;B063
Borutta;SS;B064
Borzonasca;GE;B067
Bosa;OR;B068
Bosaro;RO;B069
Boschi Sant'Anna;VR;B070
Bosco Marengo;AL;B071
Bosco Chiesanuova;VR;B073
Bosconero;TO;B075
Boscoreale;NA;B076
Boscotrecase;NA;B077
Bosia;CN;B079
Bosio;AL;B080
Bosisio Parini;LC;B081
Bosnasco;PV;B082
Bossico;BG;B083
Bossolasco;CN;B084
Botricello;CZ;B085
Botrugno;LE;B086
Bottanuco;BG;B088
Botticino;BS;B091
Bottidda;SS;B094
Bova;RC;B097
Bovalino;RC;B098
Bova Marina;RC;B099
Bovegno;BS;B100
Boves;CN;B101
Bovezzo;BS;B102
Bovino;FG;B104
Bovisio-Masciago;MB;B105
Bovolenta;PD;B106
Bovolone;VR;B107
Bozzole;AL;B109
Bozzolo;MN;B110
Bra;CN;B111
Bracca;BG;B112
Bracciano;RM;B114
Bracigliano;SA;B115
Braies/Prags;BZ;B116
Brallo di Pregola;PV;B117
Brancaleone;RC;B118
Brandico;BS;B120
Brandizzo;TO;B121
Branzi;BG;B123
Braone;BS;B124
Brebbia;VA;B126
Breda di Piave;TV;B128
Castelverde;CR;B129
Bregano;VA;B131
Breganze;VI;B132
Bregnano;CO;B134
Brembate;BG;B137
Brembate di Sopra;BG;B138
Brembio;LO;B141
Breme;PV;B142
Brendola;VI;B143
Brenna;CO;B144
Brennero/Brenner;BZ;B145
