Cassano all'Ionio;CS;C002
Cassano d'Adda;MI;C003
Cassano Magnago;VA;C004
Cassaro;SR;C006
Cassiglio;BG;C007
Pero;MI;C013
Cassina de' Pecchi;MI;C014
Cassina Rizzardi;CO;C020
Cassinasco;AT;C022
Cassina Valsassina;LC;C024
Cassine;AL;C027
Cassinelle;AL;C030
Cassinetta di Lugagnano;MI;C033
Cassino;FR;C034
Cassola;VI;C037
Cassolnovo;PV;C038
Castel Castagna;TE;C040
Castagnaro;VR;C041
Castagneto Carducci;LI;C044
Castagneto Po;TO;C045
Castagnito;CN;C046
Castagnole Monferrato;AT;C047
Castagnole Piemonte;TO;C048
Castagnole delle Lanze;AT;C049
Castana;PV;C050
Castell'Umberto;ME;C051
Castano Primo;MI;C052
Casteggio;PV;C053
Castegnato;BS;C055
Castegnero;VI;C056
Castelbaldo;PD;C057
Castel Baronia;AV;C058
Castelbelforte;MN;C059
Castelbellino;AN;C060
Castelbello-Ciardes/Kastelbell-Tschars;BZ;C062
Castelbianco;SV;C063
Castel Boglione;AT;C064
Castel Bolognese;RA;C065
Castelbottaccio;CB;C066
Castelbuono;PA;C067
Castelcivita;SA;C069
Servigliano;FM;C070
Castelcovati;BS;C072
Castelcucco;TV;C073
Casteldaccia;PA;C074
Castel d'Aiano;BO;C075
Castel d'Ario;MN;C076
Castel d'Azzano;VR;C078
Castelli Calepio;BG;C079
Casteldelci;RN;C080
Casteldelfino;CN;C081
Castel del Giudice;IS;C082
Castel del Monte;AQ;C083
Castel del Piano;GR;C085
Castel del Rio;BO;C086
Casteldidone;CR;C089
Castel di Ieri;AQ;C090
Castel di Iudica;CT;C091
Castel di Lama;AP;C093
Castel di Lucio;ME;C094
Castel di Sangro;AQ;C096
Castel di Sasso;CE;C097
Castel di Tora;RI;C098
Castelfidardo;AN;C100
Castelfiorentino;FI;C101
Castel Focognano;AR;C102
Castelfondo;TN;C103
Castelforte;LT;C104
Castelfranci;AV;C105
Castelfranco in Miscano;BN;C106
Castelfranco Emilia;MO;C107
Castrolibero;CS;C108
Castel Vittorio;IM;C110
Castelfranco Veneto;TV;C111
Castelfranco di Sotto;PI;C113
Castel Frentano;CH;C114
