Cori;LT;D003
Coriano;RN;D004
Corigliano d'Otranto;LE;D006
Corinaldo;AN;D007
Corio;TO;D008
Corleone;PA;D009
Corleto Perticara;PZ;D010
Corleto Monforte;SA;D011
Courmayeur;AO;D012
Cormano;MI;D013
Cormons;GO;D014
Corna Imagna;BG;D015
Cornalba;BG;D016
Cornaredo;MI;D018
Cornate d'Adda;MB;D019
Cornedo Vicentino;VI;D020
Cornegliano Laudense;LO;D021
Corneliano d'Alba;CN;D022
Tarquinia;VT;D024
Corniglio;PR;D026
Corno di Rosazzo;UD;D027
Corno Giovine;LO;D028
Cornovecchio;LO;D029
Cornuda;TV;D030
Morimondo;MI;D033
Correggio;RE;D037
Correzzana;MB;D038
Correzzola;PD;D040
Corrido;CO;D041
Corridonia;MC;D042
Corropoli;TE;D043
Corsano;LE;D044
Corsico;MI;D045
Corsione;AT;D046
Cortaccia sulla strada del vino/Kurtatsch an der Weinstraße;BZ;D048
Cortale;CZ;D049
Cortandone;AT;D050
Cortanze;AT;D051
Cortazzone;AT;D052
Corte Brugnatella;PC;D054
Corte de' Cortesi con Cignone;CR;D056
Corte de' Frati;CR;D057
Corte Franca;BS;D058
Cortemaggiore;PC;D061
Cortemilia;CN;D062
Corteno Golgi;BS;D064
Cortenova;LC;D065
Cortenuova;BG;D066
Corte Palasio;LO;D068
Cortiglione;AT;D072
Cortina sulla strada del vino/Kurtinig an der Weinstraße;BZ;D075
Cortino;TE;D076
Cortona;AR;D077
Corvara;PE;D078
Corvara in Badia/Corvara;BZ;D079
Corvino San Quirico;PV;D081
Corzano;BS;D082
Coseano;UD;D085
Cosenza;CS;D086
Cosio d'Arroscia;IM;D087
Cosio Valtellino;SO;D088
Cosoleto;RC;D089
Cossano Canavese;TO;D092
Cossano Belbo;CN;D093
Cossato;BI;D094
Cosseria;SV;D095
Cossignano;AP;D096
Cossogno;VB;D099
Cossoine;SS;D100
Cossombrato;AT;D101
Costa Vescovato;AL;D102
Costa Valle Imagna;BG;D103
Costa di Rovigo;RO;D105
Costabissara;VI;D107
Costacciaro;PG;D108
Costa de' Nobili;PV;D109
Costa di Mezzate;BG;D110
Costa Serina;BG;D111
Costa Masnaga;LC;D112
Costanzana;VC;D113
Costarainera;IM;D114
Costa Volpino;BG;D117
Costermano sul Garda;VR;D118
Costigliole d'Asti;AT;D119
Costigliole Saluzzo;CN;D120
Cotignola;RA;D121
Crotone;KR;D122
Cotronei;KR;D123
Cottanello;RI;D124
Covo;BG;D126
Cozzo;PV;D127
Craco;MT;D128
Crandola Valsassina;LC;D131
Cravagliana;VC;D132
Cravanzana;CN;D133
Craveggia;VB;D134
Creazzo;VI;D136
Crecchio;CH;D137
Credaro;BG;D139
Credera Rubbiano;CR;D141
Crema;CR;D142
Cremella;LC;D143
Cremenaga;VA;D144
Cremeno;LC;D145
Cremia;CO;D147
Cremolino;AL;D149
Cremona;CR;D150
Cremosano;CR;D151
Crescentino;VC;D154
Crespadoro;VI;D156
Crespiatica;LO;D159
Crespino;RO;D161
Cressa;NO;D162
Crevacuore;BI;D165
Crevalcore;BO;D166
Crevoladossola;VB;D168
Crispano;NA;D170
Crispiano;TA;D171
Crissolo;CN;D172
Crocefieschi;GE;D175
Crodo;VB;D177
Crognaleto;TE;D179
Cropalati;CS;D180
Cropani;CZ;D181
Crosia;CS;D184
Crosio della Valle;VA;D185
Crotta d'Adda;CR;D186
Crova;VC;D187
Croviana;TN;D188
Crucoli;KR;D189
Cuasso al Monte;VA;D192
Veronella;VR;D193
Cuccaro Vetere;SA;D195
Cucciago;CO;D196
Cuceglio;TO;D197
Cuggiono;MI;D198
Cugliate-Fabiasco;VA;D199
Cuglieri;OR;D200
Cugnoli;PE;D201
Cumiana;TO;D202
Cumignano sul Naviglio;CR;D203
Cunardo;VA;D204
Cuneo;CN;D205
Cunico;AT;D207
Cuorgnè;TO;D208
Cupello;CH;D209
Cupra Marittima;AP;D210
Cupramontana;AN;D211
Curcuris;OR;D214
Cureggio;NO;D216
Curiglia con Monteviasco;VA;D217
