Ghemme;NO;E001
Ghiffa;VB;E003
Ghilarza;OR;E004
Ghisalba;BG;E006
Ghislarengo;VC;E007
Giacciano con Baruchella;RO;E008
Giaglione;TO;E009
Gianico;BS;E010
Giano Vetusto;CE;E011
Giano dell'Umbria;PG;E012
Giardinello;PA;E013
Giardini-Naxos;ME;E014
Giarole;AL;E015
Giarratana;RG;E016
Giarre;CT;E017
Giave;SS;E019
Giaveno;TO;E020
Giavera del Montello;TV;E021
Giba;SU;E022
Gibellina;TP;E023
Gifflenga;BI;E024
Giffone;RC;E025
Giffoni Sei Casali;SA;E026
Giffoni Valle Piana;SA;E027
Gignese;VB;E028
Gignod;AO;E029
Gildone;CB;E030
Gimigliano;CZ;E031
Ginestra;PZ;E033
Ginestra degli Schiavoni;BN;E034
Ginosa;TA;E036
Gioi;SA;E037
Gioia del Colle;BA;E038
Gioia Sannitica;CE;E039
Gioia dei Marsi;AQ;E040
Gioia Tauro;RC;E041
Gioiosa Marea;ME;E043
Gioiosa Ionica;RC;E044
Giove;TR;E045
Giovinazzo;BA;E047
Giovo;TN;E048
Girasole;NU;E049
Girifalco;CZ;E050
Gissi;CH;E052
Giuggianello;LE;E053
Giugliano in Campania;NA;E054
Giuliana;PA;E055
Giuliano Teatino;CH;E056
Giuliano di Roma;FR;E057
Giulianova;TE;E058
Giungano;SA;E060
Giurdignano;LE;E061
Giussago;PV;E062
Giussano;MB;E063
Giustenice;SV;E064
Giustino;TN;E065
Giusvalla;SV;E066
Givoletto;TO;E067
Gizzeria;CZ;E068
Glorenza/Glurns;BZ;E069
Sesta Godano;SP;E070
Godega di Sant'Urbano;TV;E071
Godiasco Salice Terme;PV;E072
Godrano;PA;E074
Goito;MN;E078
Golasecca;VA;E079
Golferenzo;PV;E081
Gombito;CR;E082
Gonars;UD;E083
Goni;SU;E084
Gonnosfanadiga;SU;E085
Gonnesa;SU;E086
Gonnoscodina;OR;E087
Gonnostramatza;OR;E088
Gonzaga;MN;E089
Gordona;SO;E090
Gorga;RM;E091
Gorgo al Monticano;TV;E092
Gorgoglione;MT;E093
Gorgonzola;MI;E094
Goriano Sicoli;AQ;E096
Gorizia;GO;E098
Gorlago;BG;E100
Gorla Maggiore;VA;E101
Gorla Minore;VA;E102
Gorle;BG;E103
Gornate Olona;VA;E104
Gorno;BG;E106
Goro;FE;E107
Gorreto;GE;E109
Gorzegno;CN;E111
Gosaldo;BL;E113
Gossolengo;PC;E114
Gottasecca;CN;E115
Gottolengo;BS;E116
Govone;CN;E118
Gozzano;NO;E120
Gradara;PU;E122
Gradisca d'Isonzo;GO;E124
Grado;GO;E125
Gradoli;VT;E126
Graffignana;LO;E127
Graffignano;VT;E128
Graglia;BI;E130
Gragnano;NA;E131
Gragnano Trebbiense;PC;E132
Grammichele;CT;E133
Grana;AT;E134
Granarolo dell'Emilia;BO;E136
Grandate;CO;E139
Grandola ed Uniti;CO;E141
Graniti;ME;E142
Granozzo con Monticello;NO;E143
Grantola;VA;E144
Grantorto;PD;E145
Granze;PD;E146
Grassano;MT;E147
Grassobbio;BG;E148
Gratteri;PA;E149
Gravellona Lomellina;PV;E152
Gravellona Toce;VB;E153
Gravere;TO;E154
Gravina in Puglia;BA;E155
Gravina di Catania;CT;E156
Grazzanise;CE;E158
Grazzano Badoglio;AT;E159
Greccio;RI;E160
Greci;AV;E161
Greggio;VC;E163
Gremiasco;AL;E164
Gressan;AO;E165
Gressoney-La-Trinité;AO;E167
Gressoney-Saint-Jean;AO;E168
Greve in Chianti;FI;E169
Grezzago;MI;E170
Grezzana;VR;E171
Griante;CO;E172
Gricignano di Aversa;CE;E173
Grignasco;NO;E177
Grigno;TN;E178
Grimacco;UD;E179
Grimaldi;CS;E180
Grinzane Cavour;CN;E182
Grisignano di Zocco;VI;E184
Grisolia;CS;E185
Grizzana Morandi;BO;E187
Grognardo;AL;E188
Gromo;BG;E189
Grondona;AL;E191
Grone;BG;E192
Grontardo;CR;E193
Gropello Cairoli;PV;E195
Gropparello;PC;E196
Groscavallo;TO;E199
Grosio;SO;E200
Grosotto;SO;E201
Grosseto;GR;E202
Grosso;TO;E203
Grottaferrata;RM;E204
Grottaglie;TA;E205
Grottaminarda;AV;E206
Grottammare;AP;E207
Grottazzolina;FM;E208
Grotte;AG;E209
Grotte di Castro;VT;E210
Grotteria;RC;E212
Grottole;MT;E213
Grottolella;AV;E214
Gruaro;VE;E215
Grugliasco;TO;E216
Grumello Cremonese ed Uniti;CR;E217
Grumello del Monte;BG;E219
Grumento Nova;PZ;E221
Grumo Appula;BA;E223
Grumo Nevano;NA;E224
Grumolo delle Abbadesse;VI;E226
Guagnano;LE;E227
Gualdo;MC;E228
Gualdo Cattaneo;PG;E229
Gualdo Tadino;PG;E230
Gualtieri;RE;E232
Gualtieri Sicaminò;ME;E233
