Marzi;CS;F001
Marzio;VA;F002
Masate;MI;F003
Mascali;CT;F004
Mascalucia;CT;F005
Maschito;PZ;F006
Masciago Primo;VA;F007
Maser;TV;F009
Masera;VB;F010
Maserà di Padova;PD;F011
Maserada sul Piave;TV;F012
Masi;PD;F013
Masio;AL;F015
Masi Torello;FE;F016
Maslianico;CO;F017
Masone;GE;F020
Massa Fermana;FM;F021
Massa d'Albe;AQ;F022
Massa;MS;F023
Massa Martana;PG;F024
Massa e Cozzile;PT;F025
Massafra;TA;F027
Massalengo;LO;F028
Massa Lombarda;RA;F029
Massa Lubrense;NA;F030
Massa Marittima;GR;F032
Massanzago;PD;F033
Massarosa;LU;F035
Massazza;BI;F037
Massello;TO;F041
Masserano;BI;F042
San Marco Evangelista;CE;F043
Massignano;AP;F044
Massimeno;TN;F045
Massimino;SV;F046
Massino Visconti;NO;F047
Massiola;VB;F048
Masullas;OR;F050
Matelica;MC;F051
Matera;MT;F052
Mathi;TO;F053
Matino;LE;F054
Matrice;CB;F055
Mattie;TO;F058
Mattinata;FG;F059
Mazara del Vallo;TP;F061
Mazzano;BS;F063
Mazzano Romano;RM;F064
Mazzarino;CL;F065
Mazzarrà Sant'Andrea;ME;F066
Mazzè;TO;F067
Mazzin;TN;F068
Mazzo di Valtellina;SO;F070
Meana Sardo;NU;F073
Meana di Susa;TO;F074
Meda;MB;F078
Mede;PV;F080
Medea;GO;F081
Medesano;PR;F082
Medicina;BO;F083
Mediglia;MI;F084
Medolago;BG;F085
Medole;MN;F086
Medolla;MO;F087
Meduna di Livenza;TV;F088
Meduno;PN;F089
Megliadino San Vitale;PD;F092
Meina;NO;F093
Melara;RO;F095
Melazzo;AL;F096
Meldola;FC;F097
Mele;GE;F098
Melegnano;MI;F100
Melendugno;LE;F101
Meleti;LO;F102
Melfi;PZ;F104
Melicuccà;RC;F105
Melicucco;RC;F106
Melilli;SR;F107
Melissa;KR;F108
Melissano;LE;F109
Melito Irpino;AV;F110
Melito di Napoli;NA;F111
Melito di Porto Salvo;RC;F112
Melizzano;BN;F113
Melle;CN;F114
Mello;SO;F115
Silea;TV;F116
Melpignano;LE;F117
Meltina/Mölten;BZ;F118
Melzo;MI;F119
Menaggio;CO;F120
Menconico;PV;F122
Mendatica;IM;F123
Mendicino;CS;F125
Menfi;AG;F126
Mentana;RM;F127
Meolo;VE;F130
Merana;AL;F131
Merano/Meran;BZ;F132
Merate;LC;F133
Mercallo;VA;F134
Mercatello sul Metauro;PU;F135
Mercatino Conca;PU;F136
Novafeltria;RN;F137
Mercato San Severino;SA;F138
Mercato Saraceno;FC;F139
Mercenasco;TO;F140
Mercogliano;AV;F141
Mereto di Tomba;UD;F144
Mergo;AN;F145
Mergozzo;VB;F146
Merì;ME;F147
Merlara;PD;F148
Merlino;LO;F149
Merone;CO;F151
Mesagne;BR;F152
Mese;SO;F153
Mesenzana;VA;F154
Mesero;MI;F155
Mesola;FE;F156
Mesoraca;KR;F157
Messina;ME;F158
Mestrino;PD;F161
Meta;NA;F162
Mezzago;MB;F165
Mezzana Mortigliengo;BI;F167
Mezzana;TN;F168
Mezzana Bigli;PV;F170
Mezzana Rabattone;PV;F171
Mezzane di Sotto;VR;F172
Mezzanego;GE;F173
Mezzanino;PV;F175
Mezzano;TN;F176
Mezzenile;TO;F182
Mezzocorona;TN;F183
Mezzojuso;PA;F184
Mezzoldo;BG;F186
Mezzolombardo;TN;F187
Mezzomerico;NO;F188
Miagliano;BI;F189
Miane;TV;F190
Miasino;NO;F191
Miazzina;VB;F192
Micigliano;RI;F193
Miggiano;LE;F194
Miglianico;CH;F196
Miglierina;CZ;F200
Miglionico;MT;F201
Mignanego;GE;F202
Mignano Monte Lungo;CE;F203
Milano;MI;F205
Milazzo;ME;F206
Mileto;VV;F207
Milis;OR;F208
Militello in Val di Catania;CT;F209
Militello Rosmarino;ME;F210
Millesimo;SV;F213
Milo;CT;F214
Milzano;BS;F216
Mineo;CT;F217
Minerbe;VR;F218
