Odolo;BS;G001
Ofena;AQ;G002
Offagna;AN;G003
Offanengo;CR;G004
Offida;AP;G005
Offlaga;BS;G006
Oggebbio;VB;G007
Oggiona con Santo Stefano;VA;G008
Oggiono;LC;G009
Oglianico;TO;G010
Ogliastro Cilento;SA;G011
Oyace;AO;G012
Olbia;SS;G015
Olcenengo;VC;G016
Oldenico;VC;G018
Oleggio;NO;G019
Oleggio Castello;NO;G020
Olevano di Lomellina;PV;G021
Olevano Romano;RM;G022
Olevano sul Tusciano;SA;G023
Olgiate Comasco;CO;G025
Olgiate Molgora;LC;G026
Olgiate Olona;VA;G028
Olginate;LC;G030
Oliena;NU;G031
Oliva Gessi;PV;G032
Olivadi;CZ;G034
Oliveri;ME;G036
Oliveto Lucano;MT;G037
Oliveto Citra;SA;G039
Oliveto Lario;LC;G040
Olivetta San Michele;IM;G041
Olivola;AL;G042
Ollastra;OR;G043
Ollolai;NU;G044
Ollomont;AO;G045
Olmedo;SS;G046
Olmeneta;CR;G047
Olmo Gentile;AT;G048
Olmo al Brembo;BG;G049
Oltre il Colle;BG;G050
Oltressenda Alta;BG;G054
Oltrona di San Mamette;CO;G056
Olzai;NU;G058
Ome;BS;G061
Omegna;VB;G062
Omignano;SA;G063
Onanì;NU;G064
Onano;VT;G065
Oncino;CN;G066
Oneta;BG;G068
Onifai;NU;G070
Oniferi;NU;G071
Ono San Pietro;BS;G074
Onore;BG;G075
Onzo;SV;G076
Opera;MI;G078
Opi;AQ;G079
Oppeano;VR;G080
Oppido Lucano;PZ;G081
Oppido Mamertina;RC;G082
Ora/Auer;BZ;G083
Orani;NU;G084
Oratino;CB;G086
Orbassano;TO;G087
Orbetello;GR;G088
Orciano Pisano;PI;G090
Orero;GE;G093
Orgiano;VI;G095
Pieve Fissiraga;LO;G096
Orgosolo;NU;G097
Oria;BR;G098
Oricola;AQ;G102
Origgio;VA;G103
Orino;VA;G105
Orio Litta;LO;G107
Orio al Serio;BG;G108
Orio Canavese;TO;G109
Oriolo;CS;G110
Oriolo Romano;VT;G111
Oristano;OR;G113
Ormea;CN;G114
Ormelle;TV;G115
Ornago;MB;G116
Ornavasso;VB;G117
Ornica;BG;G118
Orosei;NU;G119
Orotelli;NU;G120
Orria;SA;G121
Orroli;SU;G122
Orsago;TV;G123
Orsara Bormida;AL;G124
Orsara di Puglia;FG;G125
Orsenigo;CO;G126
Orsogna;CH;G128
Orsomarso;CS;G129
Orta di Atella;CE;G130
Orta Nova;FG;G131
Ortacesus;SU;G133
Orta San Giulio;NO;G134
Orte;VT;G135
Ortelle;LE;G136
Ortezzano;FM;G137
Ortignano Raggiolo;AR;G139
Ortisei/St. Ulrich;BZ;G140
Ortona;CH;G141
Ortona dei Marsi;AQ;G142
Luni;SP;G143
Ortovero;SV;G144
Ortucchio;AQ;G145
Ortueri;NU;G146
Orune;NU;G147
Orvieto;TR;G148
Orzinuovi;BS;G149
Orzivecchi;BS;G150
Osasco;TO;G151
Osasio;TO;G152
Oschiri;SS;G153
Osidda;NU;G154
Osiglia;SV;G155
Osilo;SS;G156
Osimo;AN;G157
Osini;NU;G158
Osio Sopra;BG;G159
Osio Sotto;BG;G160
Osnago;LC;G161
Osoppo;UD;G163
Ospedaletti;IM;G164
Ospedaletto d'Alpinolo;AV;G165
Ospedaletto Lodigiano;LO;G166
Ospedaletto Euganeo;PD;G167
Ospedaletto;TN;G168
Ospitale di Cadore;BL;G169
Ospitaletto;BS;G170
Ossago Lodigiano;LO;G171
Ossana;TN;G173
Ossi;SS;G178
Ossimo;BS;G179
Ossona;MI;G181
Ostana;CN;G183
Ostellato;FE;G184
Ostiano;CR;G185
Ostiglia;MN;G186
Ostuni;BR;G187
Otranto;LE;G188
Otricoli;TR;G189
Ottaviano;NA;G190
Ottana;NU;G191
Ottati;SA;G192
Ottiglio;AL;G193
Ottobiano;PV;G194
Ottone;PC;G195
Oulx;TO;G196
Ovada;AL;G197
Ovaro;UD;G198
Oviglio;AL;G199
Ovindoli;AQ;G200
Ovodda;NU;G201
Ozegna;TO;G202
Ozieri;SS;G203
Ozzano Monferrato;AL;G204
Ozzano dell'Emilia;BO;G205
Ozzero;MI;G206
Pabillonis;SU;G207
Paceco;TP;G208
Pace del Mela;ME;G209
Pacentro;AQ;G210
Pachino;SR;G211
Paciano;PG;G212
Padenghe sul Garda;BS;G213
Paderna;AL;G215
Paderno Franciacorta;BS;G217
Paderno d'Adda;LC;G218
Paderno Dugnano;MI;G220
Paderno Ponchielli;CR;G222
Robbiate;LC;G223
Padova;PD;G224
Padria;SS;G225
Padula;SA;G226
Paduli;BN;G227
Paesana;CN;G228
Paese;TV;G229
Pagani;SA;G230
Paganico Sabino;RI;G232
Pagazzano;BG;G233
Pagliara;ME;G234
Paglieta;CH;G237
Pagnacco;UD;G238
Pagno;CN;G240
Pagnona;LC;G241
Pago del Vallo di Lauro;AV;G242
Pago Veiano;BN;G243
Paisco Loveno;BS;G247
Paitone;BS;G248
Paladina;BG;G249
Palagano;MO;G250
Palagianello;TA;G251
Palagiano;TA;G252
Palagonia;CT;G253
Palaia;PI;G254
Palanzano;PR;G255
Palata;CB;G257
Palau;SS;G258
Palazzago;BG;G259
Palazzo Pignano;CR;G260
Palazzo San Gervasio;PZ;G261
Palazzo Canavese;TO;G262
Palazzo Adriano;PA;G263
Palazzolo sull'Oglio;BS;G264
Palazzolo Vercellese;VC;G266
Palazzolo Acreide;SR;G267
Palazzolo dello Stella;UD;G268
Palazzuolo sul Senio;FI;G270
Palena;CH;G271
Palermiti;CZ;G272
Palermo;PA;G273
Palestrina;RM;G274
Palestro;PV;G275
Paliano;FR;G276
Palizzi;RC;G277
Pallagorio;KR;G278
Pallanzeno;VB;G280
Pallare;SV;G281
Palma di Montechiaro;AG;G282
Palma Campania;NA;G283
Palmanova;UD;G284
Palmariggi;LE;G285
Palmas Arborea;OR;G286
San Giovanni Suergiu;SU;G287
Palmi;RC;G288
Palmiano;AP;G289
Palmoli;CH;G290
Palo del Colle;BA;G291
Palomonte;SA;G292
Palombara Sabina;RM;G293
Palombaro;CH;G294
Palosco;BG;G295
Palù del Fersina;TN;G296
Palù;VR;G297
Paludi;CS;G298
Plaus/Plaus;BZ;G299
Paluzza;UD;G300
Pamparato;CN;G302
Pancalieri;TO;G303
Pancarana;PV;G304
Panchià;TN;G305
Pandino;CR;G306
Panettieri;CS;G307
Panicale;PG;G308
Villaricca;NA;G309
Pannarano;BN;G311
Panni;FG;G312
Pantelleria;TP;G315
Pantigliate;MI;G316
Paola;CS;G317
Paolisi;BN;G318
Valderice;TP;G319
Papasidero;CS;G320
Papozze;RO;G323
Parabiago;MI;G324
Parabita;LE;G325
Paratico;BS;G327
Parcines/Partschins;BZ;G328
Parella;TO;G330
Parenti;CS;G331
Parete;CE;G333
Pareto;AL;G334
Parghelia;VV;G335
Parlasco;LC;G336
Parma;PR;G337
Parodi Ligure;AL;G338
Paroldo;CN;G339
Parolise;AV;G340
Parona;PV;G342
Parrano;TR;G344
Parre;BG;G346
Partanna;TP;G347
Partinico;PA;G348
Paruzzaro;NO;G349
Parzanica;BG;G350
Pasian di Prato;UD;G352
Pasiano di Pordenone;PN;G353
Paspardo;BS;G354
Passerano Marmorito;AT;G358
Passignano sul Trasimeno;PG;G359
Passirano;BS;G361
Pastena;FR;G362
Pastorano;CE;G364
Pastrengo;VR;G365
Pasturana;AL;G367
Pasturo;LC;G368
Paternopoli;AV;G370
Paternò;CT;G371
Paterno Calabro;CS;G372
Patrica;FR;G374
Pattada;SS;G376
Patti;ME;G377
Patù;LE;G378
Pau;OR;G379
Paularo;UD;G381
Pauli Arbarei;SU;G382
San Nicolò Gerrei;SU;G383
Paulilatino;OR;G384
Paullo;MI;G385
Paupisi;BN;G386
Pavarolo;TO;G387
Pavia;PV;G388
Pavia di Udine;UD;G389
Pavone del Mella;BS;G391
Pavone Canavese;TO;G392
Pavullo nel Frignano;MO;G393
Pazzano;RC;G394
Peccioli;PI;G395
Pecetto di Valenza;AL;G397
Pecetto Torinese;TO;G398
Pedara;CT;G402
Pedaso;FM;G403
Pedavena;BL;G404
Pedemonte;VI;G406
San Paolo;BS;G407
Pederobba;TV;G408
Pedesina;SO;G410
Pedivigliano;CS;G411
Pedrengo;BG;G412
Peglio;CO;G415
Peglio;PU;G416
Pegognaga;MN;G417
Peia;BG;G418
Peio;TN;G419
