San Martino Sannita;BN;I002
San Martino Buon Albergo;VR;I003
San Martino dall'Argine;MN;I005
San Martino del Lago;CR;I007
San Martino di Lupari;PD;I008
San Martino in Rio;RE;I011
San Martino in Strada;LO;I012
San Martino Siccomario;PV;I014
San Martino Valle Caudina;AV;I016
San Marzano Oliveto;AT;I017
San Marzano di San Giuseppe;TA;I018
San Marzano sul Sarno;SA;I019
San Massimo;CB;I023
San Maurizio Canavese;TO;I024
San Maurizio d'Opaglio;NO;I025
San Mauro Marchesato;KR;I026
San Mauro Pascoli;FC;I027
San Mauro Castelverde;PA;I028
San Mauro Forte;MT;I029
San Mauro Torinese;TO;I030
San Mauro Cilento;SA;I031
San Mauro la Bruca;SA;I032
San Michele di Serino;AV;I034
San Michele di Ganzaria;CT;I035
San Michele Mondovì;CN;I037
San Michele al Tagliamento;VE;I040
San Michele all'Adige;TN;I042
San Michele Salentino;BR;I045
San Miniato;PI;I046
Sannazzaro de' Burgondi;PV;I048
San Nazzaro;BN;I049
San Nazzaro Val Cavargna;CO;I051
San Nazzaro Sesia;NO;I052
Sannicandro di Bari;BA;I053
San Nicandro Garganico;FG;I054
San Nicola la Strada;CE;I056
San Nicola dell'Alto;KR;I057
San Nicola da Crissa;VV;I058
Sannicola;LE;I059
San Nicola Arcella;CS;I060
San Nicola Baronia;AV;I061
San Nicola Manfredi;BN;I062
San Nicolò di Comelico;BL;I063
San Pancrazio/St. Pankraz;BZ;I065
San Pancrazio Salentino;BR;I066
San Paolo di Jesi;AN;I071
San Paolo di Civitate;FG;I072
San Paolo Bel Sito;NA;I073
San Paolo Solbrito;AT;I076
San Pellegrino Terme;BG;I079
San Pier d'Isonzo;GO;I082
San Pier Niceto;ME;I084
San Piero Patti;ME;I086
San Pietro di Cadore;BL;I088
San Pietro al Tanagro;SA;I089
San Pietro Val Lemina;TO;I090
San Pietro al Natisone;UD;I092
San Pietro a Maida;CZ;I093
San Pietro Apostolo;CZ;I095
San Pietro Avellana;IS;I096
San Pietro Clarenza;CT;I098
San Pietro di Caridà;RC;I102
San Pietro di Feletto;TV;I103
San Pietro di Morubio;VR;I105
San Pietro in Gu;PD;I107
San Pietro in Amantea;CS;I108
San Pietro in Cariano;VR;I109
San Pietro in Casale;BO;I110
San Pietro Infine;CE;I113
San Pietro in Guarano;CS;I114
San Pietro in Lama;LE;I115
San Pietro Mosezzo;NO;I116
San Pietro Mussolino;VI;I117
Villa San Pietro;CA;I118
San Pietro Vernotico;BR;I119
San Pietro Viminario;PD;I120
San Pio delle Camere;AQ;I121
San Polo Matese;CB;I122
San Polo d'Enza;RE;I123
San Polo di Piave;TV;I124
San Polo dei Cavalieri;RM;I125
San Ponso;TO;I126
San Possidonio;MO;I128
San Potito Ultra;AV;I129
San Potito Sannitico;CE;I130
San Prisco;CE;I131
San Procopio;RC;I132
San Prospero;MO;I133
San Quirico d'Orcia;SI;I135
San Quirino;PN;I136
San Raffaele Cimena;TO;I137
Sanremo;IM;I138
San Roberto;RC;I139
San Rocco al Porto;LO;I140
San Romano in Garfagnana;LU;I142
San Rufo;SA;I143
San Salvatore Monferrato;AL;I144
San Salvatore Telesino;BN;I145
San Salvatore di Fitalia;ME;I147
San Salvo;CH;I148
San Sebastiano Curone;AL;I150
San Sebastiano al Vesuvio;NA;I151
San Sebastiano da Po;TO;I152
San Secondo Parmense;PR;I153
San Secondo di Pinerolo;TO;I154
Sansepolcro;AR;I155
San Severino Marche;MC;I156
San Severino Lucano;PZ;I157
San Severo;FG;I158
San Siro;CO;I162
San Sossio Baronia;AV;I163
San Sostene;CZ;I164
San Sosti;CS;I165
San Sperate;SU;I166
Santa Brigida;BG;I168
Santa Caterina Villarmosa;CL;I169
Santa Caterina dello Ionio;CZ;I170
Santa Caterina Albanese;CS;I171
Santa Cesarea Terme;LE;I172
Santa Cristina Valgardena/St. Christina in Gröden;BZ;I173
Santa Cristina Gela;PA;I174
Santa Cristina e Bissone;PV;I175
Santa Cristina d'Aspromonte;RC;I176
Santa Croce sull'Arno;PI;I177
Santa Croce Camerina;RG;I178
Santa Croce del Sannio;BN;I179
Santa Croce di Magliano;CB;I181
Santadi;SU;I182
Santa Domenica Talao;CS;I183
Santa Domenica Vittoria;ME;I184
Santa Elisabetta;AG;I185
Santa Fiora;GR;I187
Santa Flavia;PA;I188
Sant'Agapito;IS;I189
Sant'Agata Fossili;AL;I190
Sant'Agata Bolognese;BO;I191
Sant'Agata di Esaro;CS;I192
Sant'Agata di Puglia;FG;I193
Sant'Agata sul Santerno;RA;I196
Sant'Agata de' Goti;BN;I197
Sant'Agata del Bianco;RC;I198
Sant'Agata di Militello;ME;I199
Sant'Agata Feltria;RN;I201
Sant'Agata li Battiati;CT;I202
Santa Giuletta;PV;I203
Santa Giusta;OR;I205
Santa Giustina;BL;I206
Santa Giustina in Colle;PD;I207
Sant'Agnello;NA;I208
Sant'Albano Stura;CN;I210
Sant'Alessio con Vialone;PV;I213
Sant'Alessio in Aspromonte;RC;I214
Sant'Alessio Siculo;ME;I215
Sant'Alfio;CT;I216
Santa Luce;PI;I217
Santa Lucia di Serino;AV;I219
Santa Lucia del Mela;ME;I220
Santa Lucia di Piave;TV;I221
Santa Margherita di Belice;AG;I224
Santa Margherita Ligure;GE;I225
Santa Margherita di Staffora;PV;I230
Santa Maria a Monte;PI;I232
Santa Maria a Vico;CE;I233
Santa Maria Capua Vetere;CE;I234
Travacò Siccomario;PV;I236
Santa Maria della Versa;PV;I237
Santa Maria del Molise;IS;I238
Santa Maria di Licodia;CT;I240
Santa Maria di Sala;VE;I242
Santa Maria Hoè;LC;I243
Santa Maria Imbaro;CH;I244
Santa Maria la Fossa;CE;I247
Santa Maria la Longa;UD;I248
Santa Maria Maggiore;VB;I249
Santa Maria Nuova;AN;I251
Santa Marina;SA;I253
Santa Marina Salina;ME;I254
Santa Marinella;RM;I255
Sant'Ambrogio sul Garigliano;FR;I256
Sant'Ambrogio di Torino;TO;I258
Sant'Ambrogio di Valpolicella;VR;I259
Santomenna;SA;I260
San Tammaro;CE;I261
Sant'Anastasia;NA;I262
Sant'Anatolia di Narco;PG;I263
Sant'Andrea di Conza;AV;I264
Sant'Andrea del Garigliano;FR;I265
Sant'Andrea Apostolo dello Ionio;CZ;I266
Sant'Andrea Frius;SU;I271
Sant'Angelo d'Alife;CE;I273
Sant'Angelo Lodigiano;LO;I274
Sant'Angelo di Piove di Sacco;PD;I275
Sant'Angelo Lomellina;PV;I276
Sant'Angelo a Cupolo;BN;I277
Sant'Angelo a Fasanella;SA;I278
Sant'Angelo all'Esca;AV;I279
Sant'Angelo a Scala;AV;I280
Sant'Angelo dei Lombardi;AV;I281
Sant'Angelo del Pesco;IS;I282
Sant'Angelo di Brolo;ME;I283
Sant'Angelo Romano;RM;I284
Sant'Angelo in Pontano;MC;I286
Sant'Angelo in Vado;PU;I287
Sant'Angelo Le Fratte;PZ;I288
Sant'Angelo Limosano;CB;I289
Sant'Angelo Muxaro;AG;I290
Santa Ninfa;TP;I291
Sant'Anna d'Alfaedo;VR;I292
Sant'Antimo;NA;I293
Sant'Antioco;SU;I294
Sant'Antonino di Susa;TO;I296
Villa Sant'Antonio;OR;I298
Sant'Antonio Abate;NA;I300
Santa Paolina;AV;I301
Sant'Apollinare;FR;I302
Santarcangelo di Romagna;RN;I304
Sant'Arcangelo;PZ;I305
Sant'Arpino;CE;I306
Sant'Arsenio;SA;I307
Santa Severina;KR;I308
Santa Sofia d'Epiro;CS;I309
Santa Sofia;FC;I310
Santa Teresa di Riva;ME;I311
Santa Teresa Gallura;SS;I312
Santa Venerina;CT;I314
Santa Vittoria in Matenano;FM;I315
Santa Vittoria d'Alba;CN;I316
Sant'Egidio del Monte Albino;SA;I317
Sant'Egidio alla Vibrata;TE;I318
Sant'Elena;PD;I319
Sant'Elia a Pianisi;CB;I320
Sant'Elia Fiumerapido;FR;I321
Vallefiorita;CZ;I322
Sant'Elpidio a Mare;FM;I324
Sante Marie;AQ;I326
Santena;TO;I327
San Teodoro;ME;I328
San Teodoro;SS;I329
Santeramo in Colle;BA;I330
Sant'Eufemia a Maiella;PE;I332
Sant'Eufemia d'Aspromonte;RC;I333
Sant'Eusanio del Sangro;CH;I335
Sant'Eusanio Forconese;AQ;I336
Santhià;VC;I337
Santi Cosma e Damiano;LT;I339
Sant'Ilario dello Ionio;RC;I341
Sant'Ilario d'Enza;RE;I342
Sant'Ippolito;PU;I344
Sant'Olcese;GE;I346
San Tomaso Agordino;BL;I347
Sant'Omero;TE;I348
Sant'Onofrio;VV;I350
Santopadre;FR;I351
Sant'Oreste;RM;I352
Santorso;VI;I353
Sant'Orsola Terme;TN;I354
Santo Stefano Quisquina;AG;I356
Santo Stefano del Sole;AV;I357
Santo Stefano di Rogliano;CS;I359
Santo Stefano di Sessanio;AQ;I360
Santo Stefano Ticino;MI;I361
Santo Stefano Lodigiano;LO;I362
Santo Stefano di Magra;SP;I363
Villa Santo Stefano;FR;I364
Santo Stefano al Mare;IM;I365
Santo Stefano Belbo;CN;I367
Santo Stefano d'Aveto;GE;I368
Santo Stefano di Camastra;ME;I370
Santo Stefano in Aspromonte;RC;I371
Santo Stefano Roero;CN;I372
San Stino di Livenza;VE;I373
Santu Lussurgiu;OR;I374
Sant'Urbano;PD;I375
San Valentino in Abruzzo Citeriore;PE;I376
San Valentino Torio;SA;I377
San Venanzo;TR;I381
San Vendemiano;TV;I382
San Vero Milis;OR;I384
San Vincenzo La Costa;CS;I388
San Vincenzo Valle Roveto;AQ;I389
San Vincenzo;LI;I390
San Vitaliano;NA;I391
San Vito di Cadore;BL;I392
San Vito sullo Ionio;CZ;I393
San Vito Chietino;CH;I394
San Vito dei Normanni;BR;I396
San Vito Romano;RM;I400
San Vito di Leguzzano;VI;I401
