Sulzano;BS;L002
Sumirago;VA;L003
Summonte;AV;L004
Suni;OR;L006
Suno;NO;L007
Supersano;LE;L008
Supino;FR;L009
Surano;LE;L010
Surbo;LE;L011
Susa;TO;L013
Susegana;TV;L014
Sustinente;MN;L015
Sutera;CL;L016
Sutri;VT;L017
Sutrio;UD;L018
Suvereto;LI;L019
Suzzara;MN;L020
Taceno;LC;L022
Tadasuni;OR;L023
Taggia;IM;L024
Tagliacozzo;AQ;L025
Taglio di Po;RO;L026
Tagliolo Monferrato;AL;L027
Taibon Agordino;BL;L030
Taino;VA;L032
Talamello;RN;L034
Talamona;SO;L035
Talana;NU;L036
Taleggio;BG;L037
Talla;AR;L038
Talmassons;UD;L039
Tambre;BL;L040
Taormina;ME;L042
Tarano;RI;L046
Taranta Peligna;CH;L047
Tarantasca;CN;L048
Taranto;TA;L049
Tarcento;UD;L050
Tarsia;CS;L055
Tartano;SO;L056
Tarvisio;UD;L057
Tarzo;TV;L058
Tassarolo;AL;L059
Taurano;AV;L061
Taurasi;AV;L062
Taurianova;RC;L063
Taurisano;LE;L064
Tavagnacco;UD;L065
Tavagnasco;TO;L066
Tavenna;CB;L069
Taverna;CZ;L070
Tavernerio;CO;L071
Tavernola Bergamasca;BG;L073
Taviano;LE;L074
Tavigliano;BI;L075
Tavoleto;PU;L078
Tavullia;PU;L081
Teana;PZ;L082
Teano;CE;L083
Teglio;SO;L084
Teglio Veneto;VE;L085
Telese Terme;BN;L086
Telgate;BG;L087
Telti;SS;L088
Telve;TN;L089
Telve di Sopra;TN;L090
Tempio Pausania;SS;L093
Temù;BS;L094
Tenna;TN;L096
Tenno;TN;L097
Teolo;PD;L100
Teora;AV;L102
Teramo;TE;L103
Terdobbiate;NO;L104
Terelle;FR;L105
Terento/Terenten;BZ;L106
Terlano/Terlan;BZ;L108
Terlizzi;BA;L109
Termeno sulla strada del vino/Tramin an der Weinstraße;BZ;L111
Termini Imerese;PA;L112
Termoli;CB;L113
Ternate;VA;L115
Ternengo;BI;L116
Terni;TR;L117
Terno d'Isola;BG;L118
Terracina;LT;L120
Terragnolo;TN;L121
Terralba;OR;L122
Terranuova Bracciolini;AR;L123
Terranova da Sibari;CS;L124
Terranova dei Passerini;LO;L125
Terranova di Pollino;PZ;L126
Terranova Sappo Minulio;RC;L127
Terrasini;PA;L131
Terrassa Padovana;PD;L132
Terravecchia;CS;L134
Terrazzo;VR;L136
Terricciola;PI;L138
Terruggia;AL;L139
Tertenia;NU;L140
Terzigno;NA;L142
Terzo;AL;L143
Terzo d'Aquileia;UD;L144
Terzolas;TN;L145
Terzorio;IM;L146
Tesero;TN;L147
Tesimo/Tisens;BZ;L149
Tessennano;VT;L150
Testico;SV;L152
Teti;NU;L153
Teulada;SU;L154
Teverola;CE;L155
Tezze sul Brenta;VI;L156
Thiene;VI;L157
Thiesi;SS;L158
Tiana;NU;L160
Ticengo;CR;L164
Ticineto;AL;L165
Tiggiano;LE;L166
Tiglieto;GE;L167
Tigliole;AT;L168
Tignale;BS;L169
Tinnura;OR;L172
Tione degli Abruzzi;AQ;L173
Tione di Trento;TN;L174
Tirano;SO;L175
Tires/Tiers;BZ;L176
Tiriolo;CZ;L177
Tirolo/Tirol;BZ;L178
Tissi;SS;L180
Tito;PZ;L181
Tivoli;RM;L182
Tizzano Val Parma;PR;L183
Toano;RE;L184
Tocco Caudio;BN;L185
Tocco da Casauria;PE;L186
Toceno;VB;L187
Todi;PG;L188
Toffia;RI;L189
Toirano;SV;L190
Tolentino;MC;L191
Tolfa;RM;L192
Tollegno;BI;L193
Tollo;CH;L194
Tolmezzo;UD;L195
Tolve;PZ;L197
Tombolo;PD;L199
Ton;TN;L200
Tonara;NU;L202
Tonco;AT;L203
Tonengo;AT;L204
Tora e Piccilli;CE;L205
Torano Castello;CS;L206
Torano Nuovo;TE;L207
Torbole Casaglia;BS;L210
Torcegno;TN;L211
Torchiara;SA;L212
Torchiarolo;BR;L213
Torella dei Lombardi;AV;L214
Torella del Sannio;CB;L215
Torgiano;PG;L216
Torgnon;AO;L217
Torino di Sangro;CH;L218
Torino;TO;L219
Toritto;BA;L220
Torlino Vimercati;CR;L221
Tornaco;NO;L223
