Villarbasse;TO;M002
Villarboit;VC;M003
Villareggia;TO;M004
Villar Focchiardo;TO;M007
Villaromagnano;AL;M009
Villarosa;EN;M011
Villar Pellice;TO;M013
Villar Perosa;TO;M014
Villar San Costanzo;CN;M015
Villasalto;SU;M016
Villasanta;MB;M017
Villa San Giovanni;RC;M018
Villa San Secondo;AT;M019
Villa Santa Lucia degli Abruzzi;AQ;M021
Villa Santa Maria;CH;M022
Villa Sant'Angelo;AQ;M023
Villasor;SU;M025
Villaspeciosa;SU;M026
Villastellone;TO;M027
Villata;VC;M028
Villaurbana;OR;M030
Villavallelonga;AQ;M031
Villaverla;VI;M032
Villetta Barrea;AQ;M041
Villette;VB;M042
Villesse;GO;M043
Villimpenta;MN;M044
Villongo;BG;M045
Villorba;TV;M048
Vilminore di Scalve;BG;M050
Vimercate;MB;M052
Vimodrone;MI;M053
Vinadio;CN;M055
Vinchiaturo;CB;M057
Vinchio;AT;M058
Vinci;FI;M059
Vinovo;TO;M060
Vinzaglio;NO;M062
Viola;CN;M063
Vione;BS;M065
Vipiteno/Sterzing;BZ;M067
Virle Piemonte;TO;M069
Visano;BS;M070
Vische;TO;M071
Visciano;NA;M072
Visco;UD;M073
Visone;AL;M077
Visso;MC;M078
Vistarino;PV;M079
Vistrorio;TO;M080
Vita;TP;M081
Viterbo;VT;M082
Viticuso;FR;M083
Vito d'Asio;PN;M085
Vitorchiano;VT;M086
Vittoria;RG;M088
Vittorio Veneto;TV;M089
Vittorito;AQ;M090
Vittuone;MI;M091
Vitulazio;CE;M092
Vitulano;BN;M093
Viù;TO;M094
Vivaro Romano;RM;M095
Vivaro;PN;M096
Viverone;BI;M098
Vizzini;CT;M100
Vizzola Ticino;VA;M101
Vizzolo Predabissi;MI;M102
Vo';PD;M103
Vobarno;BS;M104
Vobbia;GE;M105
Vocca;VC;M106
Vodo Cadore;BL;M108
Voghera;PV;M109
Voghiera;FE;M110
Vogogna;VB;M111
Volano;TN;M113
Volla;NA;M115
Volongo;CR;M116
Volpago del Montello;TV;M118
Volpara;PV;M119
Volpedo;AL;M120
Volpeglino;AL;M121
Volpiano;TO;M122
Voltaggio;AL;M123
Voltago Agordino;BL;M124
Volta Mantovana;MN;M125
Volterra;PI;M126
Voltido;CR;M127
Volturara Irpina;AV;M130
Volturara Appula;FG;M131
Volturino;FG;M132
Volvera;TO;M133
Vottignasco;CN;M136
Zaccanopoli;VV;M138
Zafferana Etnea;CT;M139
Zagarise;CZ;M140
Zagarolo;RM;M141
Zambrone;VV;M143
Zandobbio;BG;M144
Zanè;VI;M145
Zanica;BG;M147
Zavattarello;PV;M150
Zeccone;PV;M152
Zeddiani;OR;M153
Zelbio;CO;M156
Zelo Buon Persico;LO;M158
Zeme;PV;M161
Zenevredo;PV;M162
Zenson di Piave;TV;M163
Zerba;PC;M165
Zerbo;PV;M166
Zerbolò;PV;M167
Zerfaliu;OR;M168
Zeri;MS;M169
Zermeghedo;VI;M170
Zero Branco;TV;M171
Zevio;VR;M172
Ziano di Fiemme;TN;M173
Zibido San Giacomo;MI;M176
Zignago;SP;M177
Zimella;VR;M178
Zimone;BI;M179
Zinasco;PV;M180
Zoagli;GE;M182
Zocca;MO;M183
Zogno;BG;M184
Zola Predosa;BO;M185
Zollino;LE;M187
Zone;BS;M188
Zoppè di Cadore;BL;M189
Zoppola;PN;M190
Zovencedo;VI;M194
Zubiena;BI;M196
Zuccarello;SV;M197
Zugliano;VI;M199
Zuglio;UD;M200
Zumaglia;BI;M201
Zumpano;CS;M202
Zungoli;AV;M203
Zungri;VV;M204
Lariano;RM;M207
Lamezia Terme;CZ;M208
Sant'Anna Arresi;SU;M209
Terme Vigliatore;ME;M210
